DRG Definition,Provider Id,Provider Name,Provider City,Provider State,Average Covered Charges,Average Total Payments
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,21096.94393,5832.738318
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,14732,6131.984848
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,27976.01786,5688.758929
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,15039.5,5182.275862
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,29104.83333,7576.916667
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10010,MARSHALL MEDICAL CENTER NORTH,GUNTERSVILLE,AL,14133.91667,5203.819444
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10011,ST VINCENT'S EAST,BIRMINGHAM,AL,23711.17204,5792.946237
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,27490.16667,5290.5
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10015,SOUTHWEST ALABAMA MEDICAL CENTER,THOMASVILLE,AL,7387.857143,5800.714286
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,32653.87671,5580.506849
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10019,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,14543.63492,5668.15873
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10021,DALE MEDICAL CENTER,OZARK,AL,9618,5726.482759
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10022,CHEROKEE MEDICAL CENTER,CENTRE,AL,21956.45455,6949.909091
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,24682.31707,6901.317073
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,27079.27711,6097.506024
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10025,GEORGE H. LANIER MEMORIAL HOSPITAL,VALLEY,AL,12033.35714,5969.5
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10027,ELBA GENERAL HOSPITAL,ELBA,AL,8442.555556,6322.5
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,OPELIKA,AL,10220.62791,5769.069767
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10032,WEDOWEE HOSPITAL,WEDOWEE,AL,18946.45714,6046.171429
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,AL,23160.38255,7481.208054
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10034,COMMUNITY HOSPITAL INC,TALLASSEE,AL,12049.52632,5784.421053
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,18462.22951,5510.786885
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10036,ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,21611.90625,5603.15625
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10038,STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,24446.4,5294.025
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10039,HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,26747.968,6604.472
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,AL,56053.69737,5245.184211
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10043,CHILTON MEDICAL CENTER,CLANTON,AL,12905.63636,6812.272727
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10044,MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,15334.31818,5226.568182
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10045,FAYETTE MEDICAL CENTER,FAYETTE,AL,19133.31818,5989.704545
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,AL,45192.39189,5753.932432
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10047,GEORGIANA HOSPITAL,GEORGIANA,AL,6682.035714,5706.142857
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,AL,33492.73077,5273.634615
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10050,ST VINCENTS BLOUNT,ONEONTA,AL,17291.54054,6129.108108
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL,5637.75,6289.75
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10054,PARKWAY MEDICAL CENTER,DECATUR,AL,40134.12766,7914.255319
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10055,FLOWERS HOSPITAL,DOTHAN,AL,27032.87736,5594.273585
194 - SIMPLE PNEUMONIA & PLEURISY W CC,10056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,21632.75,5356.605263
