Provider Number,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
10001,11.4,10.9
10005,15.2,13.9
10006,11.3,13.4
10007,13.6,14.9
10008,13.8,15.8
10011,10.9,16.2
10012,16.6,15.8
10016,13.6,10.7
10018,Not Available,Not Available
10019,12.6,15
10021,11.8,9.9
10022,12.1,14.7
10023,11.8,14.3
10024,10.2,14.7
10025,8.8,10.3
10027,Not Available,12
10029,12.9,12.1
10032,10.4,13.9
10033,12.5,12.7
10034,12.3,11.6
10035,12.1,12.1
10036,10.1,11.1
10038,12,12
10039,12.4,14.1
10040,10.7,14.6
10043,11.5,11.2
10044,11.5,10
10045,11.7,12.9
10046,10.8,12.7
10047,10.8,11.3
10049,12.9,12.9
10050,13,15.3
10051,11.2,11.5
10052,10.9,10.8
10054,10.5,11.9
10055,12,11.3
10056,10.6,12.6
10058,14,13.6
10059,9.9,9.8
10061,13.4,12.9
10062,10.6,12.3
10065,11.6,14.9
10066,10.4,12.1
10069,13.5,15
10073,12.6,11.8
10078,11.2,13.2
10079,11.7,12.1
10083,15.1,9.8
10085,10.9,11.9
10086,11.8,13.1
10087,12.5,Not Available
10089,10.8,11.9
10090,13.5,10.6
10091,10.4,12.1
10092,11.2,11.3
10095,10.7,11.5
10097,11.3,11.2
10099,14.8,12.6
10100,12.8,13.1
10101,14.9,12.1
10102,Not Available,11.4
10103,11.4,11.6
10104,12.9,13.9
10108,14.8,14.2
10109,12.6,12.4
10110,12.3,12.1
10112,11.7,9.1
10113,10.7,12.5
10114,11.4,12.1
10118,12,14
10120,13,15.6
10125,13.6,10.7
10126,11.2,11.1
10128,12.3,9.3
10129,11.5,14.6
10130,10.8,11.4
10131,13.8,10.4
10137,Not Available,Not Available
10138,Not Available,Not Available
10139,13.5,13
10144,10.4,13.8
10146,16.4,19.2
10148,9.1,12
10149,9.6,10.2
01014F,10.4,11
10150,11.1,13
10152,12.5,13.1
10157,13.6,12.8
10158,14.8,11.5
10164,11.7,11.4
10168,10.8,10.9
10169,10.8,13
01019F,12.2,11.3
01021F,Not Available,Not Available
11300,Not Available,Not Available
11302,12.6,11.6
13301,Not Available,Not Available
20001,12.4,10.5
20006,11.4,12.1
20008,11.6,11.6
20012,15.6,13.4
20017,13.4,12.5
20018,11.2,9.7
20024,11.6,13.8
20026,11.6,15.5
20027,Not Available,14.2
21301,Not Available,Not Available
21302,Not Available,Not Available
21303,Not Available,11.5
21304,Not Available,Not Available
21305,Not Available,Not Available
21306,Not Available,12
