Provider Id,Provider Zip Code,Provider State,Zip Latitude,Zip Longitude
10001,36301,AL,31.180076,-85.40450
10005,35957,AL,34.203621,-86.17280
10006,35631,AL,34.817537,-87.66253
10007,36467,AL,31.280048,-86.25484
10008,36049,AL,31.737407,-86.26946
10009,35640,AL,34.442184,-86.94027
10010,35976,AL,34.350835,-86.30475
10011,35235,AL,33.609779,-86.65507
10012,35968,AL,34.460537,-85.76744
10015,36784,AL,31.936003,-87.77013
10016,35007,AL,33.232422,-86.80871
10019,35660,AL,34.759738,-87.69317
10021,36360,AL,31.447119,-85.62908
10022,35960,AL,34.141067,-85.60472
10023,36116,AL,32.313240,-86.23672
10024,36106,AL,32.354888,-86.27161
10025,36854,AL,32.777662,-85.17623
10027,36323,AL,31.428389,-86.07271
10029,36801,AL,32.660497,-85.39917
10032,36278,AL,33.338853,-85.50900
10033,35233,AL,33.509623,-86.79970
10034,36078,AL,32.553036,-85.91360
10035,35058,AL,34.223732,-86.75620
10036,36420,AL,31.279043,-86.48699
10038,36201,AL,33.658803,-85.85178
10039,35801,AL,34.728790,-86.57316
10040,35903,AL,33.996698,-85.92496
10043,35045,AL,32.834501,-86.64355
10044,35570,AL,34.149717,-88.00384
10045,35555,AL,33.681768,-87.83026
10046,35901,AL,34.016747,-85.99282
10047,36033,AL,31.655458,-86.76737
10049,36330,AL,31.325790,-85.84117
10050,35121,AL,33.944897,-86.45813
10051,35462,AL,32.931143,-87.93837
10052,36853,AL,32.787441,-85.79955
10054,35601,AL,34.595332,-86.98786
10055,36305,AL,31.214832,-85.47402
10056,35205,AL,33.497055,-86.80570
10058,35042,AL,32.963486,-87.13867
10059,35650,AL,34.496476,-87.27802
10061,35768,AL,34.712327,-86.08387
10062,36340,AL,31.043454,-85.87941
10065,35010,AL,32.903432,-85.92669
10066,36442,AL,31.042071,-86.34347
10069,36027,AL,31.876168,-85.17362
10073,36251,AL,33.243964,-85.84503
10078,36207,AL,33.651673,-85.75895
10079,35611,AL,34.784028,-87.02767
10083,36535,AL,30.396876,-87.69616
10085,35609,AL,34.539072,-86.95732
10086,35594,AL,33.925454,-87.78949
10087,36617,AL,30.717539,-88.09609
10089,35502,AL,33.828412,-87.27632
10090,36608,AL,30.690440,-88.19701
10091,36451,AL,31.704736,-87.77773
10092,35401,AL,33.193818,-87.56843
10095,36744,AL,32.703529,-87.60177
10097,36092,AL,32.592889,-86.21902
10099,36426,AL,31.129008,-87.10173
10100,36532,AL,30.512458,-87.88559
10101,35161,AL,33.415449,-86.10908
10102,36726,AL,32.008444,-87.25911
10103,35211,AL,33.479306,-86.85878
10104,35213,AL,33.507637,-86.74161
10108,36067,AL,32.488113,-86.52962
10109,35447,AL,33.254197,-88.16866
10110,36089,AL,32.145437,-85.70998
10112,36732,AL,32.495484,-87.84521
10113,36652,AL,30.586808,-88.18552
10114,35021,AL,33.405559,-86.95141
10118,36701,AL,32.429066,-87.03809
10120,36461,AL,31.509039,-87.32416
10125,35565,AL,34.225425,-87.61180
10126,36081,AL,31.852825,-85.92314
10128,36545,AL,31.508231,-87.88346
10129,36507,AL,30.875697,-87.76592
10130,35125,AL,33.606663,-86.28912
10131,35801,AL,34.728790,-86.57316
10138,36925,AL,32.487726,-88.26790
10139,35209,AL,33.468306,-86.80814
10144,36608,AL,30.690440,-88.19701
10145,35476,AL,33.227736,-87.58819
10146,36265,AL,33.824496,-85.77037
10148,36401,AL,31.461019,-86.96271
10149,36117,AL,32.373714,-86.16443
10150,36037,AL,31.800700,-86.60591
10152,36693,AL,30.630441,-88.15397
10157,35661,AL,34.759947,-87.62705
10158,35653,AL,34.519453,-87.78077
10164,35150,AL,33.185782,-86.25105
10168,36867,AL,32.492304,-85.01943
10169,36502,AL,31.090528,-87.49715
20001,99519,AK,61.156565,-149.88335
20006,99645,AK,61.598203,-149.04109
20008,99801,AK,58.358599,-134.54749
20012,99701,AK,64.835070,-147.72045
20017,99508,AK,61.203953,-149.81440
20018,99559,AK,60.766603,-161.88006
20024,99669,AK,60.489536,-151.02091
20026,99508,AK,61.203953,-149.81440
20027,99835,AK,57.064376,-135.32270
30001,85031,AZ,33.493496,-112.17108
30002,85006,AZ,33.466392,-112.04875
30006,85712,AZ,32.249551,-110.88780
30007,86326,AZ,34.723788,-112.01002
30010,85745,AZ,32.242724,-111.02090
30011,85711,AZ,32.216326,-110.88511
30012,86301,AZ,34.589477,-112.44726
30013,85364,AZ,32.704499,-114.64644
30014,85020,AZ,33.563663,-112.05519
30016,85222,AZ,32.878138,-111.73499
